task_kind,instance_id,seed,p,replicate,task_id,baseline_sampler,counts_status,entropy_delta_hardware_minus_baseline,low_energy_probability_delta_hardware_minus_baseline,enrichment_delta_hardware_minus_baseline,route_improvement_delta_hardware_minus_baseline,hardware_entropy_lower,hardware_low_energy_probability_higher,lower_entropy_and_higher_low_energy_probability
primary,seed019_pair1_B2_w8,19,1,1,2608021832354729697,Ideal QAOA Simulator,COMPLETE,-0.023557305083570235,0.01171875,0.1153846153846152,-0.2627013247218457,True,True,True
primary,seed019_pair1_B2_w8,19,2,1,2608021833222818587,Random,COMPLETE,-0.09617061628522006,0.0009765625,0.009615384615384581,0.0,True,True,True
primary,seed019_pair1_B2_w8,19,2,1,2608021833222818587,Ideal QAOA Simulator,COMPLETE,-0.10180731532226517,0.025390625,0.2500000000000001,-0.2627013247218457,True,True,True
primary,seed024_pair1_B1_w8,24,1,1,2608021833325128397,Random,COMPLETE,-0.19370081837712583,0.0419921875,0.41346153846153855,0.12828862369224225,True,True,True
primary,seed024_pair1_B1_w8,24,1,1,2608021833325128397,Ideal QAOA Simulator,COMPLETE,-0.17006237057493045,0.0419921875,0.41346153846153855,0.5982456360489294,True,True,True
primary,seed024_pair1_B1_w8,24,2,1,2608021833416878611,Random,COMPLETE,-0.6219856863492117,0.0712890625,0.7019230769230769,0.12828862369224225,True,True,True
primary,seed024_pair1_B1_w8,24,2,1,2608021833416878611,Ideal QAOA Simulator,COMPLETE,0.3105111206738371,-0.2041015625,-2.0096153846153846,0.004934643715927223,False,False,False
primary,seed026_pair2_B1_w8,26,1,1,2608021833507520897,Random,COMPLETE,-0.12936066098217402,0.01953125,0.1923076923076923,1.152256629071843,True,True,True
primary,seed026_pair2_B1_w8,26,1,1,2608021833507520897,Ideal QAOA Simulator,COMPLETE,-0.09681130285958162,0.0048828125,0.04807692307692313,0.0,True,True,True
primary,seed026_pair2_B1_w8,26,2,1,2608021834000044261,Random,COMPLETE,-0.5567389087520738,0.1220703125,1.2019230769230769,1.152256629071843,True,True,True
primary,seed026_pair2_B1_w8,26,2,1,2608021834000044261,Ideal QAOA Simulator,COMPLETE,0.11009072500388495,-0.138671875,-1.3653846153846154,0.17426069034124225,False,False,False
primary,seed027_pair1_B1_w8,27,1,1,2608021834090328650,Random,COMPLETE,-0.12570009516999558,0.015625,0.15384615384615397,1.737796627361945,True,True,True
primary,seed027_pair1_B1_w8,27,1,1,2608021834090328650,Ideal QAOA Simulator,COMPLETE,-0.10109051599722019,0.0146484375,0.14423076923076938,1.6962074017376665,True,True,True
primary,seed027_pair1_B1_w8,27,2,1,2608021834198227849,Random,COMPLETE,-0.15509328189243377,-0.02734375,-0.26923076923076916,-0.011817944797314794,True,False,False
primary,seed027_pair1_B1_w8,27,2,1,2608021834198227849,Ideal QAOA Simulator,COMPLETE,-0.11856252215660668,0.00390625,0.038461538461538436,-0.011817944797314794,True,True,True
repeat,seed002_pair1_B2_w8,2,1,2,2608021835102139328,Random,COMPLETE,-0.11148315173609458,-0.046875,-0.46153846153846145,0.0,True,False,False
repeat,seed002_pair1_B2_w8,2,1,2,2608021835102139328,Ideal QAOA Simulator,COMPLETE,-0.10734923071892233,-0.056640625,-0.5576923076923077,0.0,True,False,False
repeat,seed002_pair1_B2_w8,2,1,3,2608021835209182815,Random,COMPLETE,-0.08775406967420185,-0.0380859375,-0.375,0.0,True,False,False
repeat,seed002_pair1_B2_w8,2,1,3,2608021835209182815,Ideal QAOA Simulator,COMPLETE,-0.0836201486570296,-0.0478515625,-0.47115384615384626,0.0,True,False,False
repeat,seed002_pair1_B2_w8,2,2,2,2608021835303347898,Random,COMPLETE,-0.40523023657693624,-0.087890625,-0.8653846153846153,0.0,True,False,False
repeat,seed002_pair1_B2_w8,2,2,2,2608021835303347898,Ideal QAOA Simulator,COMPLETE,-0.12500544851172535,-0.09765625,-0.9615384615384616,-0.8005815684215065,True,False,False
repeat,seed002_pair1_B2_w8,2,2,3,2608021835396191466,Random,COMPLETE,-0.47923113684292584,-0.095703125,-0.9423076923076923,0.0,True,False,False
repeat,seed002_pair1_B2_w8,2,2,3,2608021835396191466,Ideal QAOA Simulator,COMPLETE,-0.19900634877771495,-0.10546875,-1.0384615384615385,-0.8005815684215065,True,False,False
repeat,seed003_pair1_B1_w8,3,1,2,2608021835489093784,Random,COMPLETE,-0.10319320722064163,0.0419921875,0.41346153846153855,0.0,True,True,True
repeat,seed003_pair1_B1_w8,3,1,2,2608021835489093784,Ideal QAOA Simulator,COMPLETE,0.013357818121336962,-0.0068359375,-0.06730769230769229,0.0,False,False,False
repeat,seed003_pair1_B1_w8,3,1,3,2608021835579544811,Random,COMPLETE,-0.18293147590743608,0.08203125,0.8076923076923077,0.5151326882051706,True,True,True
repeat,seed003_pair1_B1_w8,3,1,3,2608021835579544811,Ideal QAOA Simulator,COMPLETE,-0.0663804505654575,0.033203125,0.32692307692307687,0.5151326882051706,True,True,True
repeat,seed003_pair1_B1_w8,3,2,2,2608021836072036530,Random,COMPLETE,-0.1800022625233062,0.01171875,0.11538461538461542,0.0,True,True,True
repeat,seed003_pair1_B1_w8,3,2,2,2608021836072036530,Ideal QAOA Simulator,COMPLETE,-0.09821936737579762,0.033203125,0.32692307692307687,-0.5495998254435221,True,True,True
repeat,seed003_pair1_B1_w8,3,2,3,2608021836142634464,Random,COMPLETE,-0.14605834511330062,-0.0185546875,-0.1826923076923077,0.0,True,False,False
repeat,seed003_pair1_B1_w8,3,2,3,2608021836142634464,Ideal QAOA Simulator,COMPLETE,-0.06427544996579204,0.0029296875,0.028846153846153744,-0.5495998254435221,True,True,True
closed_loop,closedloop_seed002_round2_B3_w8,2,2,1,2608021839415268593,Random,COMPLETE,-0.6552101979774969,0.1044921875,1.0288461538461537,0.0,True,True,True
closed_loop,closedloop_seed002_round2_B3_w8,2,2,1,2608021839415268593,Ideal QAOA Simulator,COMPLETE,-0.014136038330789802,-0.12890625,-1.2692307692307694,-0.6950171576053492,True,False,False
closed_loop,closedloop_seed003_round2_B3_w8,3,2,1,2608021848557133436,Random,COMPLETE,-0.08291921713728101,-0.0107421875,-0.10576923076923073,0.0,True,False,False
closed_loop,closedloop_seed003_round2_B3_w8,3,2,1,2608021848557133436,Ideal QAOA Simulator,COMPLETE,-0.01488958909193272,0.0166015625,0.16346153846153844,-0.5151326882051706,True,True,True
